transaction_id,vendor,department,payment_terms,invoice_date,due_date,payment_date,invoice_amount,paid_amount,anomaly_type,is_anomaly,payment_delay_days,processing_time_days,payment_ratio,amount_zscore_vendor,amount_zscore_overall,vendor_monthly_count,log_amount,predicted_anomaly,anomaly_score
TXN-0254,Aramco Services,Operations,Immediate,2023-01-02,2023-01-02,2023-01-05,22606.04,22606.04,Normal,0,3,3,1.0,1.2467243991882424,0.1073059792514073,4,10.026016641177726,0,0.4115944307777462
TXN-0281,Noor Packaging,Finance,Net 90,2023-01-04,2023-04-04,2023-04-04,10838.0,10838.0,Normal,0,0,90,1.0,-0.2320435425503059,-0.1377838505329451,4,9.29090601981575,0,0.38474795420403274
TXN-0119,KSA Office Depot,Logistics,Net 15,2023-01-04,2023-01-19,2023-01-25,24692.58,24692.58,Normal,0,6,21,1.0,1.0110633752802511,0.150761791216547,2,10.114298569802925,0,0.42355186663818195
TXN-0140,SABIC Materials,IT,Net 90,2023-01-07,2023-04-07,2023-04-15,3697.12,3697.12,Normal,0,8,98,1.0,-0.6904731601755973,-0.2865050533594555,3,8.21557986139354,0,0.4258313205193396
TXN-0256,SABIC Materials,Procurement,Net 60,2023-01-08,2023-03-09,2023-03-15,6718.45,6718.45,Normal,0,6,66,1.0,-0.4788560623932014,-0.2235806194331298,3,8.812761584929596,0,0.37749989063772066
TXN-0257,Gulf Trading Co.,IT,Net 90,2023-01-09,2023-04-09,2023-04-09,27269.63,27269.63,Normal,0,0,90,1.0,0.0471054079619615,0.2044333241010176,4,10.213565577883012,0,0.42533054196446174
TXN-0032,KSA Office Depot,Finance,Net 15,2023-01-10,2023-01-25,2023-01-23,43556.86,43556.86,Normal,0,-2,13,1.0,2.605043613494832,0.5436431184557784,2,10.681845448200058,0,0.5197871889826416
TXN-0524,Al-Rajhi Supplies,IT,Net 90,2023-01-10,2023-04-09,2023-04-17,25000.0,25000.0,Duplicate Vendor,1,8,97,1.0,0.1012193190977803,0.1571643455477955,3,10.12667110305036,0,0.4303556598969044
TXN-0514,Al-Rajhi Supplies,Operations,Net 60,2023-01-12,2023-03-10,2023-03-13,25000.0,25000.0,Duplicate Vendor,1,3,60,1.0,0.1012193190977803,0.1571643455477955,3,10.12667110305036,0,0.401333493491687
TXN-0240,SABIC Materials,Operations,Net 15,2023-01-13,2023-01-28,2023-02-02,19573.79,19573.79,Normal,0,5,20,1.0,0.4215453309686445,0.0441541173981502,3,9.88199779283211,0,0.38922768119205997
